Periodo;TasaDesempleo
Jan-10;12.9
Feb-10;12.7
Mar-10;12.9
Apr-10;12.5
May-10;12.0
Jun-10;12.3
Jul-10;12.2
Aug-10;12.0
Sep-10;12.3
Oct-10;12.3
Nov-10;12.9
Dec-10;12.9
Jan-11;12.3
Feb-11;11.8
Mar-11;11.6
Apr-11;11.9
May-11;11.6
Jun-11;11.5
Jul-11;11.2
Aug-11;11.2
Sep-11;11.2
Oct-11;11.3
Nov-11;11.2
Dec-11;11.1
Jan-12;10.7
Feb-12;10.9
Mar-12;10.6
Apr-12;10.3
May-12;10.9
Jun-12;10.9
Jul-12;10.2
Aug-12;10.1
Sep-12;9.7
Oct-12;10.0
Nov-12;9.9
Dec-12;9.6
Jan-13;9.7
Feb-13;9.7
Mar-13;9.3
Apr-13;9.0
May-13;9.0
Jun-13;9.1
Jul-13;9.4
Aug-13;9.2
Sep-13;8.8
Oct-13;9.1
Nov-13;8.7
Dec-13;8.3
Jan-14;8.3
Feb-14;8.2
Mar-14;7.9
Apr-14;7.2
May-14;7.7
Jun-14;7.8
Jul-14;7.7
Aug-14;7.4
Sep-14;6.8
Oct-14;6.8
Nov-14;6.6
Dec-14;6.4
Jan-15;6.7
Feb-15;6.8
Mar-15;6.8
Apr-15;6.8
May-15;6.8
Jun-15;6.7
Jul-15;6.9
Aug-15;6.6
Sep-15;6.2
Oct-15;6.3
Nov-15;6.4
Dec-15;6.2
Jan-16;5.8
Feb-16;5.4
Mar-16;5.5
Apr-16;6.1
May-16;5.6
Jun-16;5.9
Jul-16;5.5
Aug-16;5.6
Sep-16;6.4
Oct-16;5.8
Nov-16;5.8
Dec-16;5.9
Jan-17;5.8
Feb-17;5.5
Mar-17;5.0
Apr-17;5.1
May-17;5.2
Jun-17;4.9
Jul-17;5.1
Aug-17;5.2
Sep-17;5.1
Oct-17;4.9
Nov-17;4.8
Dec-17;5.0
Jan-18;5.0
Feb-18;4.9
Mar-18;5.0
Apr-18;4.8
May-18;4.9
Jun-18;4.5
Jul-18;4.4
Aug-18;4.7
Sep-18;4.6
Oct-18;4.4
Nov-18;4.5
Dec-18;4.4
Jan-19;4.8
Feb-19;4.3
Mar-19;4.7
Apr-19;4.2
May-19;4.2
Jun-19;4.3
Jul-19;4.5
Aug-19;4.2
Sep-19;3.9
Oct-19;4.1
Nov-19;4.2
Dec-19;4.2
Jan-20;4.3
Feb-20;4.4
Mar-20;6.0
Apr-20;18.9
